Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Yankee grab,1875,Waiting for the Mail,WOOD,106,,There [at the bar] we did Yankee grab for half-crowns till Bill lost a note and cleared out.,
Yankee grab,"Jul 8, 1876",Southern Advertiser,,5,,"No more at even shall our fast young swells/ For drinks at yankee grab, or euchre play./ ... Nor `Justices' who guard the public weal,/ Stand `nobblerising' at the public bars.",
Yankee grab,1889,Rhymes and Rambles,MITCHELL,19,,"One night, at the hotel where I put up, several of us had a go in at Yankee grab. I was unlucky. Next morning ... I had but one pound left.",
Yankee grab,"Jul 12, 1867",Otago Daily Times,,7,,".. on his return he stopped at the Volunteer Hotel, and met there two acquaintances, named Sloane and Puddie, and commenced to play ""Yankee Grab"" with Sloane, and lost.",
Yankee grab,"Sep 14, 1905",Manawatu Times,,2,,"YANKEE GRAB. The Labour meeting to protest against the operations of the Harvester Trust, held here this evening,w as attended by 500 workers representative of all trades.",fig
Yankee grab,"May 22, 1919",Wairarapa Daily,,4,,"Yet we have the United States claiming a greater percentage of the interned vessels than she is legitimately entitled to. This Yankee Grab policy is to be condemned, and will be rightly so, in all Allied and neutral countries.",fig
Yankee grab,"Feb 13, 1920",Poverty Bay Herald,,2,,"YANKEE GRAB. A special committee set up by the Auckland Chamber of Commerce has presented a valuable report upon legislation recently passed in America, having for its object the capture of the world's markets.",fig
Yankee grab,"Jun 10, 1939",Evening Post,,17,,""".. Not long ago one of them caused intense amusement by requesting an explanation of the mysteries of Yankee grab ...""",
Yankee shout,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,115,,Yankee shout: GO DUTCH,
Yankee shout,"Jan 17, 1925",NZ Truth,,14,,"Nowadays, with the incessant dancing at cabarets, etc., it is fortunate for the young men that a different fashion prevails, and the ""Yankee shout"" is the most usual thing. The girls independently get their dance tickets, making up parties without any obligation being incurred.",
Yankee shout,"Dec 17, 1931",Evening Post,,8,,"An' make it, dear, a ""Yankee shout.""",
Yankee start,"Aug 27, 1887",Auckland Weekly News,,15,,"The exorbitant charges are easily accounted for - I mean what every digger knows as ""Yankee starts"".",
Yankee start,1935,"Gael Fares Forth, The",McKENZIE,,,"British gum-diggers of the disreputable kind were not ashamed to give the storekeeper what they called a `Yankee start' - that is, to defraud him by secretly leaving the district without settling their accounts for goods supplied.",
Yankee start,"Nov 29, 1879",Southland Times,,3,,"House building is still going on and the latest is one by our local carpenter, Mr R. A. Elliott, and judging from the outside appearance, he means to give us a Yankee start, and show us how a house ought to be built.",
Yankee start,"Aug 6, 1896",Grey River Argus,,4,,"It will not be advisable, though, to dabble in many more banking adventures or we will be up a tree and would do better perhaps to give our creditors a Yankee start by filing off in the outhodox [sic] fashion.",
Yankee start,"Mar 6, 1901",Otago Witness,,6,,"People coming into the room got rather a Yankee start, you bet.",fig.
Yankee start,"May 3, 1910",Hawera & Normanby Star,,2,,"By way of showing the galloping powers of his young ones, Mr Hughes is fond of giving them a Yankee start with a dog that can go a bit quick himself.",
Yankee sweat,"Dec 22, 2001",Listener (New Zealand Listener),,62,,"Bookmakers called the horses' odds, spielers (gambling operators) set up booths for dice games such as ""yankee sweat"" and ""under and overs"", and as well as beer tents, opium dens were in evidence at some meetings.",
